Date,ADA,ARDR,BCH,BCN,BTC,BTG,BTS,DASH,DOGE,EOS,ETC,ETH,HC,ICX,KMD,LSK,LTC,MIOTA,NANO,NEO,QTUM,STRAT,TRX,WAVES,XEM,XLM,XMR,XRP,XVG,ZEC
2018-01-23,14688641024.0,1014925504.0,27473707008.0,1148772224.0,184087085056.0,3186393088.0,859027520.0,5978456576.0,758897920.0,8432506880.0,2907490816.0,97554251776.0,479068192.0,3087206144.0,644148672.0,2502092032.0,9892993024.0,6861568000.0,1926899200.0,8018767360.0,2955640832.0,1140181120.0,4681943040.0,828236608.0,8883817472.0,8487839744.0,4929475584.0,52421304320.0,1368892672.0,1390646656.0
2018-01-24,14606507008.0,1045214848.0,27460182016.0,1146218112.0,183418601472.0,3172505344.0,845500032.0,5932762112.0,749844160.0,8112746496.0,2828346112.0,95952658432.0,505451200.0,3079561728.0,644726016.0,2566648064.0,9793777664.0,6998057984.0,1886190592.0,7966982656.0,2883114752.0,1221143296.0,4510088704.0,819666496.0,8524937216.0,8693048320.0,4830945280.0,52380082176.0,1352210944.0,1380506496.0
2018-01-25,16316877824.0,1094214400.0,28121270272.0,1222742272.0,192162840576.0,3240296960.0,1073991552.0,6182432768.0,807854720.0,8734499840.0,2969786880.0,103334617088.0,668416128.0,3183379200.0,702705344.0,2637129728.0,9968751616.0,6845146112.0,2032487552.0,8976148480.0,3021827584.0,1267795456.0,4684674560.0,891993344.0,8760477696.0,10146550784.0,5039373824.0,52811091968.0,1375861376.0,1432076928.0
2018-01-26,16435257344.0,1080430848.0,27720476672.0,1209719552.0,189397811200.0,3133805312.0,1114961280.0,6224305664.0,869785984.0,8958125056.0,2892376832.0,102333644800.0,751080768.0,2972130816.0,687319296.0,2648569088.0,9875593216.0,6558106112.0,1703593344.0,8953601024.0,2983483392.0,1247743360.0,4510313472.0,903952384.0,8504375296.0,10759449600.0,4953260032.0,50706432000.0,1299825792.0,1485837824.0
2018-01-27,16164934656.0,981650112.0,27136137216.0,1298791424.0,188054274048.0,3049247744.0,1202306560.0,6139284992.0,817646016.0,9027388416.0,2858606336.0,102651150336.0,730589824.0,3012178176.0,679287808.0,2507907328.0,9705022464.0,6607671808.0,2317696768.0,8979147776.0,2936637696.0,1329111680.0,4371905024.0,894906048.0,7589107200.0,11283585024.0,5090877440.0,47180193792.0,1276619648.0,1435351936.0
2018-01-28,16089290752.0,969499584.0,27713288192.0,1355520000.0,193133117440.0,3136398080.0,1348359552.0,6095129600.0,836842368.0,9057848320.0,2945276160.0,108121956352.0,711159424.0,3017345024.0,694040640.0,2740088576.0,9969418240.0,6830550016.0,2515618048.0,9124098048.0,2934442752.0,1426252672.0,4531100160.0,916625664.0,9506634752.0,11005221888.0,5055337984.0,47412498432.0,1372428800.0,1428951424.0
2018-01-29,17354876928.0,1004049024.0,29561513984.0,1348688896.0,197870944256.0,3171783424.0,1320180736.0,6369620992.0,836111488.0,9524431872.0,3303236608.0,121268518912.0,698989824.0,3582478848.0,725439744.0,2734543872.0,10649768960.0,7007528960.0,2629038080.0,9885256704.0,3236942848.0,1443425536.0,4301995520.0,918718144.0,9253434368.0,11303375872.0,5194673664.0,54204256256.0,1330541952.0,1489002240.0
2018-01-30,16199213056.0,1005884096.0,28079687680.0,1284580224.0,190339072000.0,3061917184.0,1192723968.0,6025039872.0,787316288.0,8918291456.0,3160487168.0,115206995968.0,684767232.0,3628282880.0,750223296.0,2653913600.0,9976165376.0,7195223040.0,2481585408.0,10976104448.0,3219346944.0,1467941888.0,4212155648.0,870973696.0,8421585408.0,10557114368.0,4970190848.0,51452428288.0,1240787328.0,1421048320.0
2018-01-31,13679062016.0,846642752.0,24915744768.0,1108270336.0,170183426048.0,2659444992.0,1023863552.0,5329558528.0,678022976.0,7309743616.0,2707435520.0,104230846464.0,622291584.0,3151000576.0,611588992.0,2556444672.0,9090868224.0,6162981888.0,2137842560.0,9451085824.0,2754251008.0,1183223168.0,3547644672.0,762709312.0,7071075840.0,8732984320.0,4306286592.0,43800784896.0,1001537472.0,1217891200.0
2018-02-01,13376097280.0,797227136.0,25263214592.0,1094997248.0,172372410368.0,2635294976.0,1156998784.0,5486818304.0,680468224.0,7826059776.0,2863779840.0,108952059904.0,601368384.0,2942888192.0,612270720.0,3101039104.0,9004326912.0,6419968512.0,2681839616.0,9487200256.0,3108804096.0,1220306304.0,3599931136.0,769864256.0,7123982336.0,9967476736.0,4291335168.0,44971470848.0,1014359488.0,1269553152.0
2018-02-02,10875356160.0,601064384.0,21561731072.0,928027968.0,153952600064.0,2148411648.0,1021047808.0,4842828800.0,567658816.0,6528441344.0,2484192512.0,100835745792.0,505664704.0,2319702272.0,492331584.0,2616559360.0,7844713984.0,5280737792.0,2189520640.0,8166714880.0,2626061824.0,996956544.0,3027200512.0,664535872.0,5522747904.0,8387821056.0,3774697472.0,37473906688.0,848116992.0,1270101888.0
2018-02-03,10395838464.0,544250240.0,20237445120.0,844861952.0,149085257728.0,1850862208.0,830838144.0,4631428608.0,508803040.0,6290737152.0,2305465600.0,89507553280.0,493309504.0,2021095296.0,453688224.0,2540935168.0,7232407552.0,5023053824.0,2251308288.0,7867206656.0,2244474624.0,928058240.0,2697963776.0,621154496.0,5260803584.0,7482160128.0,3707606016.0,34795925504.0,792569792.0,1228182784.0
2018-02-04,11248858112.0,537229120.0,21577486336.0,931294528.0,154553286656.0,1909447040.0,868506432.0,5008815104.0,585833216.0,6306873344.0,2409207296.0,93953425408.0,512429216.0,2074468224.0,515684224.0,2724377088.0,8829970432.0,5503778304.0,2207512832.0,7943967744.0,2195082496.0,953493952.0,2927417600.0,663751552.0,5645437952.0,7851159040.0,3951032576.0,35631726592.0,943516864.0,1244414336.0
2018-02-05,9983055872.0,439307072.0,19659782144.0,797002560.0,139324735488.0,1696000000.0,698489024.0,4288888064.0,497114688.0,5618384896.0,2068333056.0,81337360384.0,440663232.0,1630109056.0,436503808.0,2322127360.0,8190577664.0,4867820544.0,1685445632.0,6992380416.0,1937847552.0,783472704.0,2484621056.0,571019008.0,4940819968.0,7064586752.0,3435454464.0,32219402240.0,783589312.0,1100552704.0
2018-02-06,8587277824.0,376514816.0,15103068160.0,641824896.0,118809837568.0,1433166080.0,525231552.0,3572916992.0,400769440.0,4659177472.0,1669529472.0,68958748672.0,363262336.0,1175925760.0,336964256.0,1790491776.0,7024631808.0,4104805888.0,1220277120.0,5464508928.0,1545604992.0,600847936.0,1996603392.0,453887808.0,4103650048.0,6208172032.0,2837432064.0,27506202624.0,629593856.0,988333696.0
2018-02-07,9522150400.0,409535680.0,16462938112.0,777619392.0,130683248640.0,1556436224.0,590101056.0,4128774912.0,487888320.0,5439427072.0,1912010496.0,77031956480.0,446483168.0,1672258176.0,394099328.0,2126904448.0,7851097088.0,4491551232.0,1417125120.0,6833697792.0,1779022080.0,674636544.0,2382381312.0,501033056.0,5239024128.0,6800611840.0,3306781952.0,30215620608.0,750268672.0,1188413696.0
2018-02-08,8930942976.0,396463360.0,16133926912.0,756510080.0,128714047488.0,1472269312.0,558517312.0,4099996928.0,482167104.0,5019675648.0,1809295872.0,73676865536.0,426180416.0,1458375808.0,376740928.0,2148843776.0,7624625664.0,4475694080.0,1354237568.0,6763562496.0,1621643776.0,634084480.0,2147853312.0,492456384.0,4826201600.0,6357805568.0,3261223168.0,28447537152.0,697936192.0,1148877184.0
2018-02-09,9148313600.0,434787040.0,21601239040.0,827420800.0,139411996672.0,1747087744.0,617446912.0,4776922112.0,515803456.0,5584730624.0,2182525440.0,79799255040.0,455791872.0,1657679232.0,414172640.0,2720309248.0,8254980608.0,4953716224.0,1508318464.0,7279310336.0,2052794368.0,721390272.0,2418563584.0,559784192.0,4898412544.0,6648692736.0,3890812416.0,31095808000.0,761342656.0,1414966528.0
2018-02-10,10025240576.0,554506496.0,22249687040.0,909050688.0,146981191680.0,2779924480.0,680390592.0,5035304448.0,563596800.0,6334330880.0,2588640768.0,86055600128.0,539404608.0,1744969088.0,455034944.0,3225955072.0,9015892992.0,5437921280.0,1380626304.0,7618882560.0,2277456640.0,815645440.0,3118048512.0,606150848.0,5385457152.0,7344118272.0,4092073728.0,36951531520.0,841022656.0,1541404288.0
2018-02-11,10503162880.0,530083904.0,21295585280.0,857197760.0,145244585984.0,2183775232.0,644312448.0,4989407744.0,562156416.0,6007741952.0,2447404800.0,83813031936.0,510309440.0,1542153216.0,442684000.0,3225834496.0,8571530240.0,5165175296.0,1264392704.0,7179004928.0,2231910912.0,774244800.0,3192980224.0,571865216.0,5308410368.0,7494819840.0,3917972736.0,41635549184.0,825598592.0,1569616640.0
2018-02-12,9660285952.0,498731776.0,20735399936.0,804923520.0,137257820160.0,2076469504.0,616799232.0,4591910400.0,561775872.0,5609459200.0,2425802496.0,79754362880.0,494517920.0,1471540992.0,413200000.0,3010810368.0,8282046464.0,4763775488.0,1122135808.0,6771600896.0,2037250688.0,694445120.0,2801093632.0,548601600.0,4789975040.0,6897001984.0,3611417344.0,39262732288.0,752690240.0,1422981888.0
2018-02-13,9941367808.0,532560448.0,21802971136.0,886967616.0,150515712000.0,1941270400.0,642341824.0,4902658560.0,619592832.0,6113091584.0,2982734592.0,84824178688.0,523586240.0,1619739136.0,437649088.0,3313852672.0,8928364544.0,5211601408.0,1302881664.0,7386417664.0,2231573504.0,782976064.0,3031195648.0,574298048.0,5041773568.0,7306905088.0,3897148160.0,42119847936.0,816477376.0,1509009792.0
2018-02-14,9690665984.0,507569696.0,20854265856.0,838246912.0,145023090688.0,2046054272.0,620967424.0,4679076864.0,637324224.0,6160923136.0,3426859520.0,82400600064.0,540833472.0,1493022592.0,414061248.0,3064763904.0,8809590784.0,5052453376.0,1186852352.0,7206135808.0,2219240704.0,780622784.0,2846575616.0,558951808.0,4787276800.0,7554983936.0,3683457024.0,40026513408.0,772899776.0,1458174080.0
2018-02-15,10232652800.0,515123392.0,23053330432.0,1002508864.0,160025198592.0,2156782336.0,717667840.0,5359910912.0,760417600.0,6656238592.0,3477965568.0,90173317120.0,581186624.0,1692875776.0,471912800.0,3340918272.0,11725707264.0,5635362304.0,1202197760.0,7930298368.0,2394938880.0,914276992.0,3019312896.0,641992448.0,5121401344.0,8334662656.0,4340620800.0,44433596416.0,865811136.0,1587071488.0
2018-02-16,10633779200.0,531765536.0,23302049792.0,1072156800.0,170960158720.0,2225457408.0,708265280.0,5540570112.0,825923840.0,6817048064.0,3439180544.0,91272060928.0,571597312.0,1839773440.0,542020224.0,3779451648.0,12455320576.0,5894521856.0,1247069056.0,7996375040.0,2440375552.0,938100096.0,3056550144.0,800093184.0,5040777728.0,8330002432.0,4733642240.0,44663255040.0,875593024.0,1591695104.0
